Athlete, Reaction, Time, 10m, 20m, 30m, 40m, 50m, 60m, 70m, 80m, 90m, 100m
Kazuki Ishikura, , 10.50, 1.94, 1.06, 0.98, 0.95, 0.92, 0.91, 0.90, 0.92, 0.95, 0.97
Nobuharu Asahara, , 10.18, 1.91, 1.04, 0.95, 0.90, 0.89, 0.87, 0.89, 0.89, 0.91, 0.93
Naoki Tsukahara, , 10.45, 1.97, 1.06, 0.97, 0.93, 0.92, 0.91, 0.91, 0.91, 0.93, 0.94
Nobuharu Asahara, , 10.38, 1.94, 1.06, 0.95, 0.91, 0.90, 0.90, 0.90, 0.92, 0.93, 0.97
Shingo Suetsugu, , 10.23, 1.94, 1.04, 0.95, 0.91, 0.89, 0.88, 0.89, 0.89, 0.91, 0.93
Masashi Eriguchi, , 10.53, 1.94, 1.09, 0.96, 0.92, 0.92, 0.92, 0.92, 0.94, 0.95, 0.97
Masahide Ueno, , 10.50, 1.92, 1.09, 0.98, 0.92, 0.92, 0.92, 0.92, 0.93, 0.94, 0.96
Shigeyuki Kojima, , 10.50, 1.89, 1.09, 0.98, 0.93, 0.92, 0.92, 0.92, 0.93, 0.95, 0.97
Nobuharu Asahara, , 10.39, 1.91, 1.05, 0.96, 0.91, 0.91, 0.90, 0.91, 0.92, 0.94, 0.98
Naoki Tsukahara, , 10.34, 1.92, 1.07, 0.96, 0.93, 0.91, 0.90, 0.89, 0.91, 0.92, 0.93
Nobuharu Asahara, 0.147, 10.14, 1.753, 1.04, 0.94, 0.89, 0.87, 0.87, 0.87, 0.89, 0.91, 0.96
Olusoji Fasuba, 0.190, 10.27, 1.760, 1.07, 0.94, 0.91, 0.89, 0.89, 0.89, 0.90, 0.92, 0.91
Derrick Atkins, 0.158, 10.25, 1.762, 1.08, 0.96, 0.92, 0.89, 0.88, 0.89, 0.89, 0.90, 0.92
Marlon Devonish, 0.138, 10.13, 1.782, 1.05, 0.94, 0.89, 0.88, 0.88, 0.87, 0.88, 0.89, 0.93
Asafa Powell, 0.165, 10.34, 1.715, 1.03, 0.97, 0.89, 0.91, 0.90, 0.91, 0.93, 0.94, 0.98
Naoki Tsukahara, 0.132, 10.20, 1.738, 1.05, 0.95, 0.91, 0.90, 0.89, 0.90, 0.89, 0.91, 0.93
Nobuharu Asahara, 0.143, 10.16, 1.767, 1.04, 0.95, 0.90, 0.89, 0.88, 0.87, 0.89, 0.91, 0.92
Derrick Atkins, 0.150, 10.02, 1.740, 1.04, 0.95, 0.88, 0.87, 0.86, 0.86, 0.86, 0.88, 0.93
Asafa Powell, 0.150, 10.01, 1.700, 1.03, 0.92, 0.87, 0.86, 0.86, 0.85, 0.89, 0.92, 0.96
Oljusoji Fasuba, 0.181, 10.24, 1.759, 1.05, 0.94, 0.90, 0.89, 0.88, 0.89, 0.90, 0.91, 0.94
Marlon Devonish, 0.154, 10.13, 1.796, 1.04, 0.94, 0.90, 0.88, 0.88, 0.87, 0.87, 0.89, 0.91
Tyson Gay, 0.203, 10.06, 1.767, 1.05, 0.93, 0.88, 0.86, 0.86, 0.86, 0.86, 0.87, 0.92
Churandy Martina, 0.141, 10.10, 1.819, 1.03, 0.95, 0.90, 0.88, 0.86, 0.87, 0.86, 0.88, 0.91
Naoki Tsukahara, 0.154, 10.31, 1.766, 1.04, 0.95, 0.92, 0.90, 0.89, 0.91, 0.91, 0.92, 0.95
Nobuharu Asahara, 0.161, 10.36, 1.779, 1.05, 0.95, 0.91, 0.90, 0.89, 0.90, 0.91, 0.93, 0.98
Asafa Powell, 0.156, 10.08, 1.734, 1.04, 0.91, 0.87, 0.86, 0.87, 0.88, 0.90, 0.92, 0.94
Derrick Atkins, 0.166, 10.04, 1.754, 1.05, 0.93, 0.89, 0.87, 0.86, 0.85, 0.87, 0.87, 0.93
