Athlete, Reaction, Time, 10m, 20m, 30m, 40m, 50m, 60m, 70m, 80m, 90m, 100m
Tiago Lecomte, 0.155, 11.30, 1.905, 1.15, 1.05, 1.01, 1.00, 0.99, 0.99, 1.00, 1.01, 1.04
Robbe Carchon, 0.152, 11.29, 1.898, 1.14, 1.04, 1.00, 0.99, 1.00, 1.00, 1.01, 1.02, 1.04
Kobe van Raemdonck, 0.160, 11.22, 1.880, 1.15, 1.03, 0.98, 0.98, 0.98, 0.99, 1.00, 1.03, 1.04
Jilcien Planchon, 0.135, 11.12, 1.885, 1.12, 1.02, 0.97, 0.97, 0.97, 0.98, 0.99, 1.03, 1.05
Xavier Rousseau, 0.180, 11.08, 1.920, 1.13, 1.02, 0.98, 0.97, 0.96, 0.96, 0.97, 0.99, 1.00
Niels van de Cloodt, 0.172, 11.07, 1.878, 1.11, 1.02, 0.97, 0.97, 0.97, 0.97, 0.99, 1.00, 1.02
Rune Vandezande, 0.137, 10.99, 1.893, 1.12, 1.01, 0.97, 0.96, 0.95, 0.97, 0.97, 1.00, 1.01
Letsile Tebogo, 0.146, 10.61, 1.754, 1.06, 0.94, 0.90, 0.88, 0.87, 0.90, 0.92, 1.02, 1.22
Joshua Hartmann, 0.152, 10.30, 1.798, 1.06, 0.96, 0.90, 0.89, 0.88, 0.88, 0.89, 0.90, 0.99
Yohan Blake, 0.147, 10.08, 1.733, 1.04, 0.95, 0.91, 0.89, 0.87, 0.87, 0.87, 0.89, 0.91
Marvin Bracy-Williams, 0.136, 10.01, 1.764, 1.03, 0.93, 0.89, 0.87, 0.86, 0.87, 0.86, 0.88, 0.92
Kishane Thompson, 0.129, 9.87, 1.741, 1.02, 0.92, 0.87, 0.85, 0.85, 0.86, 0.85, 0.87, 0.91
Ferdinand Omanyala, 0.135, 9.85, 1.775, 1.01, 0.92, 0.87, 0.85, 0.84, 0.84, 0.86, 0.87, 0.88
Noah Lyles, 0.155, 9.85, 1.785, 1.04, 0.92, 0.88, 0.86, 0.84, 0.83, 0.84, 0.84, 0.86
Christian Coleman, 0.147, 9.83, 1.723, 1.02, 0.91, 0.87, 0.85, 0.84, 0.85, 0.86, 0.86, 0.90
Emanuele di Marino, 0.137, 12.44, 2.113, 1.23, 1.14, 1.10, 1.10, 1.10, 1.10, 1.12, 1.13, 1.17
Nicholas Mayhugh, 0.173, 11.90, 1.937, 1.17, 1.08, 1.04, 1.03, 1.04, 1.08, 1.09, 1.12, 1.14
Andreas Walser, 0.175, 11.65, 1.965, 1.18, 1.06, 1.03, 1.01, 1.01, 1.03, 1.03, 1.06, 1.10
Olivier Hendriks, 0.209, 11.39, 2.031, 1.19, 1.06, 1.01, 0.98, 0.95, 0.97, 0.97, 0.99, 1.03
Axel Zorzi, 0.166, 11.29, 1.894, 1.13, 1.01, 0.99, 0.98, 0.98, 0.99, 1.03, 1.03, 1.09
Jaydin Blackwell, 0.204, 11.01, 1.906, 1.10, 1.01, 0.97, 0.95, 0.95, 0.96, 0.97, 0.98, 1.01
Zachary Shaw, 0.147, 10.99, 1.903, 1.13, 1.01, 0.98, 0.95, 0.95, 0.95, 0.96, 0.98, 1.03
Noah Malone, 0.157, 10.72, 1.793, 1.07, 0.99, 0.94, 0.94, 0.92, 0.95, 0.96, 0.98, 1.02
